what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337102913086
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337102913540
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337102914169
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337102914980
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337102915312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337102915732
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337102916047
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337102916436
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337102916723
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337102919077
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337102985969
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1337103025936
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1337103027264
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337103030881
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337103037474
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337103037665
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337103045488
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1337103046362
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337103046581
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337103047765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337103048744
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1337103049297
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337103049485
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337103052486
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1337103058007
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1337103063488
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337103067138
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337103075834
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337103079216
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1337103082875
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1337103083078
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1337103083295
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1337103083529
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1337103083936
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337103088581
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337103088700
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337103092243
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337103092378
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337103106043
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1337103126139
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1337103126533
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1337103131625
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337103132588
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337103133528
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337103134957
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337103136190
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337103136985
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337103138051
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337103139132
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337103140397
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337103141410
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337103142292
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337103143237
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337103144137
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337103145220
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337103145996
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337103146908
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337103147214
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1337103149483
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337103150678
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337103155017
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337103164591
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1337103176175
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337103177243
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337103178725
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337103180178
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337103182868
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337103184936
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337103192323
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337103202264
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337103202416
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337103204580
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337103207295
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337103208203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337103210875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337103232503
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1337103239629
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337103244365
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337103245714
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337103246553
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337103250002
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337103251416
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1337103253700
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337103254093
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337103258704
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337103261777
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337103270654
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1337103271831
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1337103272277
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1337103273612
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337103274444
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337103274976
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337103294315
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337103301164
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337103311942
